"GrLivArea","LotArea","Total_Bathrooms","Total_porch_SF","MSZoning","LandContour","LotConfig","Condition1","BldgType","HouseStyle","RoofStyle","MasVnrType","Foundation","SaleType","SaleCondition","YearBuilt","YearRemodAdd","MoSold","YrSold","OverallQual","OverallCond","PavedDrive","Fence","BsmtFinSF1","Functional","ExterQual","BsmtQual","BsmtExposure","BsmtFinType1","BsmtUnfSF","CentralAir","KitchenQual","Fireplaces","FireplaceQu","BedroomAbvGr","KitchenAbvGr","LotShape","GarageArea","GarageCond","Neighborhood","has2ndFloor","Alley","TotalSF","GarageType","MasVnrArea","GrupoPrecio","SalePrice"
7.44483327389219,9.04204005654448,3.5,61,4,"Lvl","Inside","Norm","1Fam","2Story","Gable",2,"PConc",9,"Normal","1990_","1990_","2","2008",7,5,"Y","NA",6.56103066589657,7,"Gd","Gd","No","Unf",5.01727983681492,"Y",3,0,"NA",3,0.693147180559945,"Reg",548,"TA","CollgCr","True","NA",7.85010354517558,"Attchd",196,"Caro",12.247694320221
7.14124512235049,9.16962253869762,2.5,298,4,"Lvl","FR2","Feedr","1Fam","1Story","Gable",3,"CBlock",9,"Normal","1960_1990","1960_1990","5","2007",6,8,"Y","NA",6.88653164253051,7,"TA","Gd","Gd","Unf",5.65248918026865,"Y",2,1,"TA",3,0.693147180559945,"Reg",460,"TA","Veenker","False","NA",7.8336002236611,"Attchd",0,"Normal",12.109010932687
7.48829351515943,9.32821229257107,3.5,42,4,"Lvl","Inside","Norm","1Fam","2Story","Gable",2,"PConc",9,"Normal","1990_","1990_","9","2008",7,5,"Y","NA",6.18826412308259,7,"Gd","Gd","Mn","Unf",6.07534603108868,"Y",3,1,"TA",3,0.693147180559945,"IR1",608,"TA","CollgCr","True","NA",7.90322680873073,"Attchd",162,"Caro",12.3171666930358
7.4489161025442,9.16440114003474,2,307,4,"Lvl","Corner","Norm","1Fam","2Story","Gable",3,"BrkTil",9,"Abnorml","1900_1930","1960_1990","2","2006",7,5,"Y","NA",5.37989735354046,7,"TA","TA","No","Unf",6.29341927884648,"Y",3,1,"Gd",3,0.693147180559945,"IR1",642,"TA","Crawfor","True","NA",7.81318726752142,"Detchd",0,"Barato",11.8493977015914
7.69575799055476,9.56528381773677,3.5,276,4,"Lvl","FR2","Norm","1Fam","2Story","Gable",2,"PConc",9,"Normal","1990_","1990_","12","2008",8,5,"Y","NA",6.48616078894409,7,"Gd","Gd","Av","Unf",6.19644412779452,"Y",3,1,"TA",4,0.693147180559945,"IR1",836,"TA","NoRidge","True","NA",8.1146238864201,"Attchd",350,"Caro",12.4292161968444
7.21744343169653,9.55506418479516,2.5,390,4,"Lvl","Inside","Norm","1Fam","1.5Fin","Gable",3,"Wood",9,"Normal","1990_","1990_","10","2009",5,5,"Y","MnPrv",6.59714570188665,7,"TA","Gd","No","Unf",4.17438726989564,"Y",2,0,"NA",1,0.693147180559945,"IR1",480,"TA","Mitchel","True","NA",7.67693714581808,"Attchd",0,"Barato",11.870599909242
7.43543801981455,9.21880445038831,3,312,4,"Lvl","Inside","Norm","1Fam","1Story","Gable",4,"PConc",9,"Normal","1990_","1990_","8","2007",8,5,"Y","NA",7.22256601882217,7,"Gd","Ex","Av","Unf",5.76205138278018,"Y",3,1,"Gd",3,0.693147180559945,"Reg",636,"TA","Somerst","False","NA",8.12563098847706,"Attchd",186,"Caro",12.6346030265693
7.64539769942863,9.24792513230345,3.5,667,4,"Lvl","Corner","PosN","1Fam","2Story","Gable",4,"CBlock",9,"Normal","1960_1990","1960_1990","11","2009",7,6,"Y","NA",6.75693238924755,7,"TA","Gd","Mn","BLQ",5.37989735354046,"Y",2,2,"TA",3,0.693147180559945,"IR1",484,"TA","NWAmes","True","NA",8.06996814905984,"Attchd",240,"Caro",12.2060726455302
7.48155570190952,8.71948076085107,2,295,5,"Lvl","Inside","Artery","1Fam","1.5Fin","Gable",3,"BrkTil",9,"Abnorml","1930_1960","1930_1960","4","2008",7,5,"Y","NA",0,3,"TA","TA","No","Unf",6.8596149036542,"Y",2,2,"TA",2,1.09861228866811,"Reg",468,"TA","OldTown","True","NA",7.91059061225648,"Detchd",0,"Barato",11.7745202026587
6.98286275146894,8.91206909797013,2,4,4,"Lvl","Corner","Artery","2fmCon","1.5Unf","Gable",3,"BrkTil",9,"Normal","1930_1960","1930_1960","1","2008",5,6,"Y","NA",6.74758652682932,7,"TA","TA","No","Unf",4.94875989037817,"Y",2,2,"TA",2,1.09861228866811,"Reg",205,"TA","BrkSide","False","NA",7.63433723562832,"Attchd",0,"Barato",11.6784399034478
6.94793706861497,9.32375833901174,2,0,4,"Lvl","Inside","Norm","1Fam","1Story","Hip",3,"CBlock",9,"Normal","1960_1990","1960_1990","2","2008",5,5,"Y","NA",6.81014245011514,7,"TA","TA","No","Unf",4.90527477843843,"Y",2,0,"NA",3,0.693147180559945,"Reg",384,"TA","Sawyer","False","NA",7.64012317269536,"Detchd",0,"Barato",11.7714361601217
7.75147531802146,9.38639231575654,4,168,4,"Lvl","Inside","Norm","1Fam","2Story","Hip",4,"PConc",7,"Partial","1990_","1990_","7","2006",9,5,"Y","NA",6.90675477864855,7,"Ex","Ex","No","Unf",5.18178355029209,"Y",4,2,"Gd",4,0.693147180559945,"IR1",736,"TA","NridgHt","True","NA",8.16023249236769,"BuiltIn",286,"Caro",12.7512996960135
6.81673588059497,9.47031717333574,2,316,4,"Lvl","Inside","Norm","1Fam","1Story","Hip",3,"CBlock",9,"Normal","1960_1990","1960_1990","9","2008",5,6,"Y","NA",6.60394382460047,7,"TA","TA","No","Unf",5.17048399503815,"Y",2,0,"NA",2,0.693147180559945,"IR2",352,"TA","Sawyer","False","NA",7.50878717063428,"Detchd",0,"Barato",11.8775685785581
7.30988148582479,9.2735968216112,2,193,4,"Lvl","Inside","Norm","1Fam","1Story","Gable",4,"PConc",7,"Partial","1990_","1990_","8","2007",7,5,"Y","NA",0,7,"Gd","Gd","Av","Unf",7.30988148582479,"Y",3,1,"Gd",3,0.693147180559945,"IR1",840,"TA","CollgCr","False","NA",8.00235954625271,"Attchd",306,"Caro",12.5407575715773
7.13409372119287,9.29844282019773,2.5,389,4,"Lvl","Corner","Norm","1Fam","1Story","Hip",2,"CBlock",9,"Normal","1930_1960","1930_1960","5","2008",6,5,"Y","GdWo",6.59850902861452,7,"TA","TA","No","Unf",6.25575004175337,"Y",2,1,"Fa",2,0.693147180559945,"IR1",352,"TA","NAmes","False","NA",7.82644313545601,"Attchd",212,"Barato",11.9640010843304
6.75110146893676,8.71948076085107,1,160,5,"Lvl","Corner","Norm","1Fam","1.5Unf","Gable",3,"BrkTil",9,"Normal","1900_1930","1990_","7","2007",7,8,"Y","GdPrv",0,7,"TA","TA","No","Unf",6.72503364216684,"Y",2,0,"NA",2,0.693147180559945,"Reg",576,"TA","BrkSide","False","NA",7.4301141385618,"Detchd",0,"Barato",11.7905572015685
6.91274282049318,9.32741204356202,2,0,4,"Lvl","CulDSac","Norm","1Fam","1Story","Gable",2,"CBlock",9,"Normal","1960_1990","1960_1990","3","2010",6,7,"Y","NA",6.361302477573,7,"TA","TA","No","Unf",6.05678401322862,"Y",2,1,"TA",2,0.693147180559945,"IR1",480,"TA","NAmes","False","NA",7.60489448081162,"Attchd",180,"Barato",11.9117015849276
7.16780918431644,9.28656039788759,2,0,4,"Lvl","Inside","Norm","Duplex","1Story","Gable",3,"Slab",9,"Normal","1960_1990","1960_1990","10","2006",4,5,"Y","NA",0,7,"TA","NA","NA","NA",0,"Y",2,0,"NA",2,1.09861228866811,"Reg",516,"TA","Sawyer","False","NA",7.16703787691222,"CarPort",0,"Barato",11.4075649493124
